(b44d,1bb3f) (10175,1bb3f)
(43e2d,4bed1) (349a5,4bed1)
(5baa5,ac98d) (126f5,ac98d)
(219e3,7bf8f) (6c72b,7bf8f)
(5d2b,2a9cd) (14c8b,2a9cd)
(12bad,138b9) (f03d,138b9)
(5f17,82de1) (6b0a7,82de1)
(457b,14b15) (bbd3,14b15)
(6b467,747fb) (49357,747fb)
(45b63,4b275) (48d8b,4b275)
(28db,10cab) (152b,10cab)
(82e5,8b45) (826d,8b45)
(4924d,92375) (846c5,92375)
(1cc13,210c1) (eef7,210c1)
(f77,57a01) (28823,57a01)
(a817,ec83) (91bf,ec83)
(46d63,628eb) (5ae1b,628eb)
(582b,10bd9) (3d73,10bd9)
(e085,3e317) (13d5,3e317)
(47a15,5aa7b) (40e3d,5aa7b)
(1154b,1408f) (f0c3,1408f)
(30bf,7649) (4fdf,7649)
(4d77,ec4b) (7d47,ec4b)
(28b8f,8d721) (5136f,8d721)
(5cfad,5f8fd) (5c425,5f8fd)
(132e9,1cc93) (1abd9,1cc93)
(29839,82237) (4f711,82237)
(10a51,36f07) (2f5d9,36f07)
(2bab,24a21) (14ec3,24a21)
(3095,1a55d) (4d3d,1a55d)
(273d,18f71) (11ae5,18f71)
(73a9,8549) (3fb9,8549)
(69af1,7a299) (67391,7a299)
(ae29,132f5) (4f01,132f5)
(8945,9eab) (9a25,9eab)
(56b9,a3be9) (25405,a3be9)
(85f,92443) (8a86f,92443)
(f295,1404d) (5425,1404d)
(16be5,1b829) (ef6d,1b829)
(1a291,426fb) (3afa9,426fb)
(45f5,9d19) (394d,9d19)
(a049,11de3) (a979,11de3)
(2ecf,18d27) (ee2f,18d27)
(aeb09,d0d9b) (61fd9,d0d9b)
(50047,56bb5) (107cb,56bb5)
(69c41,7ecad) (1f3b5,7ecad)
(5d557,761c3) (58b17,761c3)
(3613,6dc7) (5deb,6dc7)
(8245,8989) (388d,8989)
(75ae7,d7129) (7ca17,d7129)
(dc2b,12a6d) (5183,12a6d)
(6b6b,1a0b7) (12aab,1a0b7)
(293e9,3012d) (ba19,3012d)
(36aaf,54dff) (200ef,54dff)
(3871,5f083) (76d1,5f083)
(6ad,6a7f) (5fd5,6a7f)
(38a7,b975) (1d17,b975)
(12fb,249a7) (12e03,249a7)
(50a8f,7038b) (390ef,7038b)
(14f21,1a4a9) (15ee1,1a4a9)
(c461,19bcb) (c7c1,19bcb)
(29b13,2c4b5) (25cbb,2c4b5)
(b1ed,14d1f) (10855,14d1f)
(17ddd,2bb77) (113d5,2bb77)
(a173,163e7) (553,163e7)
(2539,14a2f) (abc1,14a2f)
(3acd,75e3) (3ae5,75e3)
(e07b,2c82d) (1f133,2c82d)
(1c84f,2f759) (10b7f,2f759)
(3beb7,4af23) (2ad0f,4af23)
(c663,116d1) (32cb,116d1)
(229eb,9f983) (301a3,9f983)
(16bcb,1bcd7) (7be3,1bcd7)
(75673,b2d1b) (4046b,b2d1b)
(288d,21c7f) (dd35,21c7f)
(3dfcd,66191) (1c715,66191)
(1d735,72d61) (1003d,72d61)
(67ff,14c15) (125b3,14c15)
(15485,16f5b) (3a85,16f5b)
(26ee1,442ed) (33a61,442ed)
(8431,1621d) (9391,1621d)
(26333,55007) (268bb,55007)
(28385,cce4b) (8b6cd,cce4b)
(2d6b,8da3) (110b,8da3)
(2b4ef,4f8d7) (3253f,4f8d7)
(4a371,7b8b9) (40615,7b8b9)
(2a90b,4b571) (36b3,4b571)
(329b,4195) (3dc3,4195)
(26079,429d3) (32f59,429d3)
(3516b,4c13b) (1453,4c13b)
(12c01,2dd4f) (529,2dd4f)
(f84b,10231) (7163,10231)
(895ab,bc44f) (1a653,bc44f)
(58d8d,83b3d) (3cc05,83b3d)
(207d5,22f2d) (1ed7d,22f2d)
(1a2d,7429) (2f45,7429)
(2f953,60d43) (2252b,60d43)
(37f7,1807f) (101c7,1807f)
(e7b9,2d223) (16949,2d223)
(265c3,28e53) (15583,28e53)
(939d,3fedd) (171f5,3fedd)
(6cbb,af3d) (3c73,af3d)
(62f,136a3) (4df,136a3)
(1933,c605) (3427,c605)
(1eeb7,23fe7) (167f,23fe7)
(7f31,1581b) (62b1,1581b)
(3df1,10f97) (4649,10f97)
(2263,42d49) (1b37,42d49)
(2c4af,3b83d) (2464f,3b83d)
(1795,73d3) (7ed,73d3)
(fcd1,101fb) (8021,101fb)
(39af,1d95f) (137ff,1d95f)
(1b5c5,50227) (1b8ed,50227)
(78c0d,d1167) (a473d,d1167)
(80bad,9c391) (98eed,9c391)
(1bb3,aad5) (87fb,aad5)
(30f0b,41c69) (12587,41c69)
(e8f1,193a3) (c929,193a3)
(1177d,1856b) (1cb5,1856b)
(3cb7,1e733) (f2ff,1e733)
(311,600f1) (33b71,600f1)
(7e73,40b65) (17cfb,40b65)
(1f165,204dd) (12c61,204dd)
(12aef,31177) (2601f,31177)
(578ab,8688b) (708b3,8688b)
(16483,2780b) (20cbb,2780b)
(8a589,b8b83) (58171,b8b83)
(15b87,3a82f) (4667,3a82f)
(10b95,20b27) (1abd,20b27)
(2447,d19f) (2867,d19f)
(44e7,19e95) (7e53,19e95)
(50ec5,9d303) (196cd,9d303)
(1a86d,1af99) (18c65,1af99)
(25525,41dd1) (b91d,41dd1)
(27e1d,2c095) (13235,2c095)
(2581,9f4f9) (6ff0d,9f4f9)
(5591b,5a2ed) (3ca33,5a2ed)
(8a3b,28f49) (18977,28f49)
(268d7,39595) (2012f,39595)
(2b7b7,3875f) (1bdf7,3875f)
(8b69,21af3) (92e9,21af3)
(f385,11447) (a6a5,11447)
(8cad7,df7f9) (6f2e7,df7f9)
(73e69,9ee93) (44849,9ee93)
(dfd,3d76f) (5015,3d76f)
(254b3,3c107) (2fa73,3c107)
(8ba9,f5ed) (5219,f5ed)
(3e47,167ff) (8a4f,167ff)
(30af,8de09) (3b35f,8de09)
(7f27,f12b) (9b17,f12b)
(18595,34f1f) (21aa5,34f1f)
(31133,32821) (c397,32821)
(710e9,7379b) (3dd89,7379b)
(437a1,56fd5) (4230d,56fd5)
(2d29,cc4f) (8819,cc4f)
(11713,1da85) (f5e3,1da85)
(14483,2d881) (18b0f,2d881)
(2c81,2adbb) (4439,2adbb)
(2a525,658ed) (5e705,658ed)
(3cdd,3901f) (19e95,3901f)
(5164b,c3d45) (645a3,c3d45)
(24517,2c25b) (7aa7,2c25b)
(7aff,15bc3) (977,15bc3)
(9869,271f9) (1af25,271f9)
(34a2d,7141d) (68249,7141d)
(3c529,459d7) (41b69,459d7)
(18d2d,2879f) (1b4bd,2879f)
(5dbd,eb51) (414d,eb51)
(1c097,27887) (5c27,27887)
(1311d,2d35b) (1bcf5,2d35b)
(1798d,1fb1d) (301d,1fb1d)
(7367,26969) (d0df,26969)
(1aded,4cc4b) (4accd,4cc4b)
(10fff,31073) (f01f,31073)
(ab2f,12131) (115af,12131)
(19c45,1b2e1) (7771,1b2e1)
(efa7,16b5b) (b5f,16b5b)
(12b9b,24449) (c433,24449)
(2092f,23c1b) (f37f,23c1b)
(12613,3875f) (3206b,3875f)
(19def,1bdab) (25e7,1bdab)
(a32b,38c6f) (1e8f3,38c6f)
(61d8d,91517) (3a69d,91517)
(5df1,251ab) (17731,251ab)
(568d5,66697) (26c7d,66697)
(2c2b7,edd49) (5a9eb,edd49)
(5949,1c3b7) (8401,1c3b7)
(575,752f) (244d,752f)
(ae43,664f7) (c14b,664f7)
(10ba1,3687d) (11e1,3687d)
(2dda3,6c619) (182ab,6c619)
(7e13,12d7b) (3bbb,12d7b)
(98ff,12b2f) (157f,12b2f)
(642b,b90b) (24cb,b90b)
(1ce39,7d53f) (4c6d9,7d53f)
(332ad,40b65) (20ea5,40b65)
(23437,448a3) (2af4f,448a3)
(1f11b,299dd) (e33,299dd)
(350e1,6d3af) (544a9,6d3af)
(2eeb,4ced1) (12dd3,4ced1)
(d9ff,50621) (6dff,50621)
(22d6b,62035) (10683,62035)
(28cd9,30d6f) (226a9,30d6f)
(a27f,16fed) (9e6f,16fed)
(c3bf,26c77) (1febf,26c77)
(294e1,2a505) (f85,2a505)
(388ed,48593) (ce05,48593)
(2a761,8f267) (fb81,8f267)
(646d9,d7435) (452c9,d7435)
(3d4c9,7c505) (19985,7c505)
(3227,aadb) (1eef,aadb)
